idx,precision,recall,f1-score,support
down,0.927992799279928,0.8827054794520548,0.9047827994734533,1168.0
go,0.8476658476658476,0.9175531914893617,0.8812260536398467,1128.0
left,0.9202772963604853,0.925893635571055,0.9230769230769231,1147.0
no,0.9124270225187656,0.94229112833764,0.9271186440677965,1161.0
off,0.8632115548003398,0.9063336306868867,0.8842471714534379,1121.0
on,0.9041450777202072,0.9232804232804233,0.9136125654450261,1134.0
right,0.9267015706806283,0.9448398576512456,0.9356828193832599,1124.0
stop,0.961301671064204,0.9373927958833619,0.9491966999565784,1166.0
unknown,0.8365853658536585,0.7400215749730313,0.7853463079564968,927.0
up,0.8991185112634672,0.8579439252336448,0.8780487804878048,1070.0
yes,0.9387417218543046,0.9402985074626866,0.9395194697597349,1206.0
accuracy,0.9049546632124352,0.9049546632124352,0.9049546632124352,0.9049546632124352
macro avg,0.9034698580965305,0.9016867409110357,0.9019871122454872,12352.0
weighted avg,0.9051241451199903,0.9049546632124352,0.9044932438067249,12352.0
